segment,proxy_period,total_baskets,total_need_zone_items,pg_need_zone_items,pg_need_share,wilson_ci_lower,wilson_ci_upper,confidence_level_label,is_high_confidence,supply_score,demand_multiplier,supply_multiplier,base_ad_budget,recommended_ad_budget,expected_incremental_revenue,expected_incremental_profit,max_allowed_ad_budget,final_recommended_budget,expected_roas,expected_profit_roi,action_label
frozen,Proxy_Period_1,135,54,0,0.0,0.0,0.0664,HIGH,True,0.991,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
frozen,Proxy_Period_2,151,55,0,0.0,0.0,0.0653,HIGH,True,0.991,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
frozen,Proxy_Period_3,163,61,0,0.0,0.0,0.0592,HIGH,True,0.991,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
frozen,Proxy_Period_4,152,58,0,0.0,0.0,0.0621,HIGH,True,0.991,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
household,Proxy_Period_1,279,827,670,0.8102,0.782,0.8354,HIGH,True,0.88,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
household,Proxy_Period_2,281,820,664,0.8098,0.7815,0.8352,HIGH,True,0.88,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
household,Proxy_Period_3,304,887,748,0.8433,0.8179,0.8657,HIGH,True,0.88,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
household,Proxy_Period_4,288,820,655,0.7988,0.77,0.8248,HIGH,True,0.88,1.3,1.0,100000.0,130000.0,624000.0,218400.0,182000.0,130000.0,4.8,1.68,ADVERTISE
meat seafood,Proxy_Period_1,52,38,0,0.0,0.0,0.0918,MEDIUM,False,0.75,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
meat seafood,Proxy_Period_2,61,50,0,0.0,0.0,0.0713,HIGH,True,0.75,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
meat seafood,Proxy_Period_3,71,62,0,0.0,0.0,0.0583,HIGH,True,0.75,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
meat seafood,Proxy_Period_4,53,49,0,0.0,0.0,0.0727,MEDIUM,False,0.75,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
pantry,Proxy_Period_1,47,40,0,0.0,0.0,0.0876,MEDIUM,False,0.85,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
pantry,Proxy_Period_2,56,48,0,0.0,0.0,0.0741,MEDIUM,False,0.85,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
pantry,Proxy_Period_3,64,56,0,0.0,0.0,0.0642,HIGH,True,0.85,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
pantry,Proxy_Period_4,49,43,0,0.0,0.0,0.082,MEDIUM,False,0.85,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
personal care,Proxy_Period_1,261,681,580,0.8517,0.823,0.8764,HIGH,True,0.92,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
personal care,Proxy_Period_2,273,701,597,0.8516,0.8234,0.876,HIGH,True,0.92,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
personal care,Proxy_Period_3,301,785,671,0.8548,0.8284,0.8777,HIGH,True,0.92,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
personal care,Proxy_Period_4,278,749,658,0.8785,0.8532,0.9,HIGH,True,0.92,0.8,1.0,100000.0,80000.0,384000.0,134400.0,112000.0,80000.0,4.8,1.68,MAINTAIN
produce,Proxy_Period_1,140,161,0,0.0,0.0,0.0233,HIGH,True,0.78,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
produce,Proxy_Period_2,148,163,0,0.0,0.0,0.023,HIGH,True,0.78,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
produce,Proxy_Period_3,158,169,0,0.0,0.0,0.0222,HIGH,True,0.78,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
produce,Proxy_Period_4,151,168,0,0.0,0.0,0.0224,HIGH,True,0.78,1.5,0.5,100000.0,75000.0,255000.0,89250.0,74375.0,74375.0,3.4,1.2,STOP
snacks,Proxy_Period_1,268,311,0,0.0,0.0,0.0122,HIGH,True,0.98,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
snacks,Proxy_Period_2,270,292,0,0.0,0.0,0.013,HIGH,True,0.98,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
snacks,Proxy_Period_3,293,321,0,0.0,0.0,0.0118,HIGH,True,0.98,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
snacks,Proxy_Period_4,275,267,0,0.0,0.0,0.0142,HIGH,True,0.98,1.5,1.0,100000.0,150000.0,510000.0,178500.0,148750.0,148750.0,3.4,1.2,TEST
